Cluster_hmmer	New_prot_name	Names	Names2	Names3	start	end	strand	Mean_cov_depth_candidat	Median_cov_depth_candidat	Mean_GC_candidat	pvalue_cov_mean	pvalue_cov_median	Median_cov_depth_BUSCO	Mean_cov_depth_BUSCO	Mean_GC_BUSCO	FDR_cov_global	FDR_pvalue_cov_mean	FDR_pvalue_cov_median	Scaffold_name	Scaffold_score	Cluster_blast	Event	Nsp_MRCA	Nloc	Nsp	Pseudogenized	evalue	bits	Mean_dNdS	Pvalue_dNdS	SE_dNdS	Cynip_count	Filamentous_count	Best_hit_ORF_perc	Number_unique_Names2	Nb_duplicated	Ratio_duplicated_unique	Length	query	target	pident	alnlen	mismatch	gapopen	tstart	tend	qstart	qend	qlen	tlen	tcov	qcov	index	start-end	Overlapp_group	Tot_length	count_duplicate_overlapp	New_overlapping_group	len	Species_name	Species_scaffold_name	ORF_query	ORF_target	ORF_start	ORF_end	ORF_strand	Overlapp_ORF_EVEs	ORF_perc	ORF_overlapp_group	Best_hit_length	Virus_count	Scaffold_and_Species_name	euk_count	Metaeuk_vote	repeat_count	euk_count_plus_repeat	Names_bis	Tips4dNdS.array	Boot	Nsp_losses	Synteny_PASS2	Scaffold_length
Cluster1		ATY70247_DmNV_tom	tom	ATY70247_DmNV_tom												True			ATY70247_DmNV_tom		Cluster1						1.214e-62	209.0				0.0	1.0		5.0	2.0	0.4	178.0	ATY70247_DmNV_tom	B7SV26_OrNV	60.5	176.0	69.0	0.0	9.0	184.0	2.0	177.0	178.0	0.921	0.989	191.0								ATY70247_DmNV_tom											3.0	ATY70247_DmNV_tom:ATY70247_DmNV_tom	0.0	no	0.0	0.0	ATY70247_DmNV_tom					
Cluster1		B7SV26_OrNV	OrNV	B7SV26_OrNV												True			B7SV26_OrNV		Cluster1						1.214e-62	209.0				0.0	1.0		5.0	2.0	0.4	191.0	B7SV26_OrNV	ATY70247_DmNV_tom	60.5	176.0	69.0	0.0	2.0	177.0	9.0	184.0	191.0	178.0	0.989	0.921								B7SV26_OrNV											3.0	B7SV26_OrNV:B7SV26_OrNV	0.0	no	0.0	0.0	B7SV26_OrNV					
Cluster1		CcFV1_orf050	CcFV1	CcFV1_orf050	50881	51429	+									True			CcFV1		Cluster1						5.701e-13	65.0				0.0	1.0		5.0	2.0	0.4	183.0	CcFV1_orf050	ATY70247_DmNV_tom	25.8	176.0	129.0	0.0	1.0	175.0	3.0	178.0	183.0	178.0	0.983	0.962								CcFV1											3.0	CcFV1_orf050:CcFV1_orf050	0.0	no	0.0	0.0	CcFV1_orf050					101121.0
Cluster1		JABMBU010000621.1:115-330(-):Phanerotoma	PhENV	JABMBU010000621.1:115-330(-):Phanerotoma	115	330										True			JABMBU010000621.1		Cluster1					no	1.704e-08	47.0				0.0	1.0		5.0	2.0	0.4	72.0	JABMBU010000621.1:115-330(-):Phanerotoma	ATY70247_DmNV_tom	47.9	50.0	25.0	0.0	83.0	132.0	24.0	72.0	72.0	178.0	0.281	0.681	4605.0	115-330	1.0	215.0	1.0	G1	215.0	Phanerotoma	Phanerotoma:JABMBU010000621.1									191.0	3.0	Phanerotoma:JABMBU010000621.1	0.0	no	1.0	1.0	JABMBU010000621.1_115-330_-__Phanerotoma					
Cluster1		JABMBU010050639.1:82-573(-):Phanerotoma	PhENV	JABMBU010050639.1:45-444(-):Phanerotoma [ORF]	82	573										True			JABMBU010050639.1		Cluster1					no	1.835e-17	78.0				0.0	1.0	0.7471910112359551	5.0	2.0	0.4	164.0	JABMBU010050639.1:82-573(-):Phanerotoma	ATY70247_DmNV_tom	30.3	164.0	112.0	0.0	15.0	175.0	1.0	164.0	164.0	0.904	1.0	178.0	4608.0	82-573	2.0	491.0	1.0	G2	491.0	Phanerotoma	Phanerotoma:JABMBU010050639.1	JABMBU010050639.1:82-573(-):Phanerotoma	"Phanerotoma:JABMBU010050639.1_ORF.2;45-444(-)"	45.0	444.0	-	yes-right	0.8126272912423625	153.0	178.0	3.0	Phanerotoma:JABMBU010050639.1	0.0	no	0.0	0.0	JABMBU010050639.1_45-444_-__Phanerotoma					
Cluster1		JABMBU010093427.1:1211-1753(+):Phanerotoma	PhENV	JABMBU010093427.1:1192-1798(+):Phanerotoma [ORF]	1211	1753										True			JABMBU010093427.1		Cluster1					no	2.289e-18	81.0				0.0	1.0	1.1038251366120218	5.0	2.0	0.4	181.0	JABMBU010093427.1:1211-1753(+):Phanerotoma	ATY70247_DmNV_tom	29.7	175.0	117.0	0.0	4.0	170.0	1.0	175.0	181.0	178.0	0.938	0.967	4635.0	1211-1753	3.0	542.0	1.0	G3	542.0	Phanerotoma	Phanerotoma:JABMBU010093427.1	JABMBU010093427.1:1211-1753(+):Phanerotoma	"Phanerotoma:JABMBU010093427.1_ORF.2;1192-1798(+)"	1192.0	1798.0	+	yes-inside	1.118081180811808	160.0	183.0	3.0	Phanerotoma:JABMBU010093427.1	0.0	no	1.0	1.0	JABMBU010093427.1_1192-1798_+__Phanerotoma					
Cluster1		JABMBU010093704.1:421-609(-):Phanerotoma	PhENV	JABMBU010093704.1:421-609(-):Phanerotoma	421	609										True			JABMBU010093704.1		Cluster1					no	4.938e-11	54.0				0.0	1.0	0.3707865168539326	5.0	2.0	0.4	63.0	JABMBU010093704.1:421-609(-):Phanerotoma	ATY70247_DmNV_tom	44.7	63.0	34.0	0.0	3.0	65.0	1.0	63.0	63.0	178.0	0.354	1.0	4593.0	421-609	4.0	188.0	1.0	G4	188.0	Phanerotoma	Phanerotoma:JABMBU010093704.1	JABMBU010093704.1:421-609(-):Phanerotoma	"Phanerotoma:JABMBU010093704.1_ORF.3;420-618(-)"	420.0	618.0	-	yes-inside	1.053191489361702	161.0	178.0	3.0	Phanerotoma:JABMBU010093704.1	0.0	no	0.0	0.0	JABMBU010093704.1_421-609_-__Phanerotoma					
Cluster1		JABMBU010105345.1:281-508(+):Phanerotoma	PhENV	JABMBU010105345.1:281-508(+):Phanerotoma	281	508										True			JABMBU010105345.1		Cluster1					no	3.848e-08	46.0				0.0	1.0	0.4213483146067415	5.0	2.0	0.4	76.0	JABMBU010105345.1:281-508(+):Phanerotoma	ATY70247_DmNV_tom	34.8	76.0	46.0	0.0	104.0	174.0	1.0	76.0	76.0	178.0	0.399	1.0	4663.0	281-508	5.0	227.0	1.0	G5	227.0	Phanerotoma	Phanerotoma:JABMBU010105345.1	JABMBU010105345.1:281-508(+):Phanerotoma	"Phanerotoma:JABMBU010105345.1_ORF.1;292-517(+)"	292.0	517.0	+	yes-left	0.9911894273127754	162.0	178.0	3.0	Phanerotoma:JABMBU010105345.1	0.0	no	0.0	0.0	JABMBU010105345.1_281-508_+__Phanerotoma					
Cluster1		JABMBU010123704.1:1469-1666(+):Phanerotoma	PhENV	JABMBU010123704.1:1469-1666(+):Phanerotoma	1469	1666										True			JABMBU010123704.1		Cluster1					no	5.703e-11	54.0				0.0	1.0	0.3455497382198952	5.0	2.0	0.4	66.0	JABMBU010123704.1:1469-1666(+):Phanerotoma	B7SV26_OrNV	43.2	66.0	37.0	0.0	7.0	72.0	1.0	66.0	66.0	191.0	0.346	1.0	4620.0	1469-1666	6.0	197.0	1.0	G6	197.0	Phanerotoma	Phanerotoma:JABMBU010123704.1	JABMBU010123704.1:1469-1666(+):Phanerotoma	"Phanerotoma:JABMBU010123704.1_ORF.2;1468-1666(+)"	1468.0	1666.0	+	yes-right	1.0050761421319796	165.0	191.0	3.0	Phanerotoma:JABMBU010123704.1	0.0	no	0.0	0.0	JABMBU010123704.1_1469-1666_+__Phanerotoma					
Cluster1		JABMBU010167179.1:66-413(-):Phanerotoma	PhENV	JABMBU010167179.1:56-443(-):Phanerotoma [ORF]	66	413										True			JABMBU010167179.1		Cluster1					no	4.519e-20	83.0				0.0	1.0	0.7247191011235955	5.0	2.0	0.4	116.0	JABMBU010167179.1:66-413(-):Phanerotoma	B7SV26_OrNV	40.1	115.0	65.0	0.0	71.0	180.0	1.0	115.0	116.0	191.0	0.576	0.991	4613.0	66-413	7.0	347.0	1.0	G7	347.0	Phanerotoma	Phanerotoma:JABMBU010167179.1	JABMBU010167179.1:66-413(-):Phanerotoma	"Phanerotoma:JABMBU010167179.1_ORF.2;56-443(-)"	56.0	443.0	-	yes-inside	1.1152737752161384	170.0	178.0	3.0	Phanerotoma:JABMBU010167179.1	0.0	no	0.0	0.0	JABMBU010167179.1_56-443_-__Phanerotoma					
